Restaurant,Cuisine
McDonald's,Burgers
Burger King,Burgers
KFC,Fried Chicken
Subway,Subs/Sandwiches
Wendy's,Burgers
Taco Bell,Mexican
Pizza Hut,Pizza
Dunkin' Donuts,Donuts/Coffee
Domino's Pizza,Pizza
Starbucks,Coffee
Chipotle Mexican Grill,Mexican
Sonic Drive-In,Burgers/American
Arby's,Sandwiches
Panera Bread,Sandwiches/Salads
Popeyes Louisiana Kitchen,Fried Chicken
Jimmy John's,Sandwiches
Five Guys,Burgers
Chick-fil-A,Chicken Sandwiches
Panda Express,Chinese
Dairy Queen,Ice Cream/Fast Food
Jack in the Box,Burgers
Little Caesars,Pizza
Whataburger,Burgers
In-N-Out Burger,Burgers
Carl's Jr.,Burgers
Hardee's,Burgers
Zaxby's,Chicken
Culver's,Burgers
Papa John's Pizza,Pizza
Denny's,American/Diner
Buffalo Wild Wings,Chicken Wings/American
Bojangles' Famous Chicken 'n Biscuits,Southern
Checkers/Rally's,Burgers
Long John Silver's,Seafood
Del Taco,Mexican
Church's Chicken,Fried Chicken
Qdoba Mexican Eats,Mexican
Waffle House,American/Breakfast
Firehouse Subs,Subs/Sandwiches
White Castle,Burgers
P.F. Chang's,Asian Fusion
Boston Market,Rotisserie Chicken
TGI Fridays,American
Olive Garden,Italian/American
Red Robin Gourmet Burgers and Brews,Burgers/American
Jersey Mike's Subs,Sandwiches
Pei Wei Asian Kitchen,Asian
A&W Restaurants,Burgers
Raising Cane's Chicken Fingers,Chicken Fingers
